Country,City,Original,Job_ES,Job_EN,Position,Link
Spain,Madrid,Dependiente carnicería,Dependiente de carnicería,Butcher Shop attendant,Low,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUb4EBp3XzAJh7r46iVWrmd2oYVXA2j20fXsbHyOvMeoWZy_C42t9xlorNXOyOj89wd5e63z5Wv15KEWM_L5oAREwAiQdOGjH7zNHz2cN9BUNWsa0lFdyPKERrSNDQl66u7vhiF_SryBJhfOI-onELtvAgcCIdz0v166HeW-_EqV0-veJMBPyD5knZ4hllOJN-37nVNa_3wk4L0s1tIgEQgvGsPqVYNFJQrs24VCAB_fSEOLhieyc0Fm2Hm9qJAuUN0ahGqI21jE_zv2DBoKWDtQ8rrvxw2iUheOycVdmQhQ40ePjU_mRyLh3Ktg7Wocw_O2kBWLEISVDu_NduwXf2NIGY2WoMPgfL6ASbN28uAvWZWpHF5FJ_D_2LjlX8vwl8VwUuLTYqLH2h_X55HVNj6di-2r5YXNcB02wy1_gxhjZ5W5IWN6Sg08O_uumBEukqIsXwrpIwPJxE1Fh8tIAI75n3ZMDMbNs_YGOV03QqEUeM8fb_zi911o3l50R0pJaW_dGtvyGM_Q_AkDlLsba5XEdVX_WFw2SXrBlwTc-oqNDan4qzSu_H2ivd8tOwHWIXDmFn_lcjKshzlKoydibsEjz0Cs8VvvOlYNWGNSDpxr-jH5QX-GRMfHV2LBhxmTb5uMmGe_bZw6UZrv5tT8ELmhp9bhmKh8uT6BoEFbeCdpFtOQyEmvUHJbKjNMJQgqVRUJ9VTRITymS5dbweQUs5sQm999Zxo0Esa5Y4KngDhw==&xkcb=SoBC6_M3pV-gt6z47h0HbzkdCdPP&camk=ethIe0s0heesdETg1Gh4dw==&p=10&fvj=0&vjs=3&tk=1jclrbr6cha9587e&jsa=1583
Spain,Madrid,REPARTIDOR/A EN MOTO,Repartidor en moto,Motorcycle delivery driver,Low,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Amnf_pNbQrHAUW4WEknZDKTZdeWX-C61Xts-CTRb00TnvUVRm1U0OGld6YMOrTxFMJAS2khb9wJNmxP__d06EhEPqIX0Gf3pTA-M9EH-YRnIMoTNNvgxuoDt_QrAaz3jSpl72cqoyZIBs7f6OQ7M2O_bm5PfwOFVTPxQtsqyxnNZZ0pLm4K-PcZ0SfkYUNWI_uIKGfLXxIdp4IZvO6mI4zx3BbUuiELF8jTKbiNf9oMnHneElemuvMVb5i6CxvvXOa2WBik3pn6Jn7A_JD5JNpgMTO2TH56H9ysYLlCYKVUoTGCLv9nOLlm_u5o5s6OVgIPb8VJLU_ktNicNqmKruvd_pOX72Q_r2zRDguObnVS2QBu4BJ1i-Q4bsL-xwrXgjePopp4JlIDPPJuZskeCsbbEXYh8frW5Tccgrtp6ArLDCn_sKUVtqmVz2HEvR4OJYHopiiv_lKJ4RaITSwwp0kJFeWv39P2g6kQTkmUk-vDQT_ExdQBZwNKkMvA1UYY1_FaQO9gk3uvh-eP7pBUpCVBdTt1Bfr-u2QRR9ODM6Jvv8xaMaLqRuBpF3hsChNSvBZfnp7lBAfmIe3AhYzYC3ilar_LhoWJW92Ie7T89aF2498aqA0oT6Lj-SISPmwv5fAbABk3sFxeEsveqircHQoZCUEnxLFuA6Nx00f9TTp242fCqcR7FUj5hKq9vgBo28PqK13t12pU4pIKHIPG-I7&xkcb=SoBr6_M3pV-gt6z47h0FbzkdCdPP&camk=UoKtGZLa3XKZ6kiLab5RSw==&p=12&fvj=0&vjs=3&tk=1jclrbr6cha9587e&jsa=1583&oc=1&sal=1
Spain,Madrid,Despachante de Helados,Dependiente de heladería,Ice cream shop attendant,Low,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C4u9z6F_nrdkHObnh8cVZ3V_0Z7JVHu7WcpBO56WP-1ioyQBWB9iQ5dQ85h19WZcXiF42yOrJaGvvA1J9ktKX6zOVenMpJkvgnAepRqZErm1JE5AEK72XM30aq5UG_15q52BCzhy8JCFUSCgFb0MYeucu6BhTgUWU3D6_3dL63C5fLLdiKdtPJZljq_exlr6Hmv62hyZlWXmBLqXWho4Cmx300QdxOGB3NC3E1CTWgZ2CYtutZyxt6RwLiFKlpn8ROCZj7UyYhGMo36kZGtghzQsG2wRz2639ychASb9S19TCh6vTdS1HKw0dz86MLB-VOua8IauJnrcn8ivXCJrmWGXrt3TffonxluuBDmQRmxZmHxsp99ui0RHHO9TRHM2TvX4GRPxnFxOOCvTDnX9w7tbeeM5KgdkxYct5KRhzKrQr8xYFTuYLf0KYI4u4dE5zea0o9kViELi5p06OJdB2QiGw25pFUElA68iSipW3Av6mFsZ_Pmho28qduN7pf-v9E5RvAumUYl4pALRH9E7QX2ZX9l2mEjvMxu98KOMmeKYFOc4f2wULfVy-Xvn5qxFkhBL_a018M9HxEYSwOa4TBAZbuPcbaEj4U3DowUMeHOx063W6-B3eu_hjQyhlodjgld30LmcWQabRkQYeZhIwH1QOG03lv-oqzCXynnqyLCpd9GNdKvwrJGvwxQTUAYNeZfHRuWj_-jPsUKOZ_RJAWjFKb7iQWbag=&xkcb=SoAf6_M3pV-gt6z47h0JbzkdCdPP&camk=UoKtGZLa3XKehg2eKU00Nw==&p=0&fvj=0&vjs=3&tk=1jclrbr6cha9587e&jsa=1583&oc=1&sal=0
Spain,Madrid,Cocinero de cocina japonesa,Cocinero de cocina japonesa,Japanese cuisine cook,Low,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BMzkWvz-MPhuntSI88j_qTu8p5uM5r6dVR7DU54mi97rykctKUBhKyCRYkdd_2jVrarbfoZoEadwuWaF9keMdlDNkgtnmhr1qt13f5UzbuYjtYkL7HlrevJapi7LBJkCUWhea3_JVxDVIIE6qExyv3Iq4fCR7NqfxfEB8zQ8tdu3As97uEr8Lzzw8QTxDeFF9Hf7nOjcUUTF-SrrhKFpLdFVJo3b9aX8avn9cevZ8lSmJDpzRyIsGsFlfc5jSfC8mIB-qEzozVc-zGviUW3sypf-U5fQu8opEh1T9qWMrtLp1r0DdeDO12E7o3wR-NgiJrB4RkSNJK7fJU7NoN93knE3XkQm5WtWZm8G5DH9SaI-BOouEUbZh8FEUhPfGEtH-waca7oQs2Obj5_CSrCs-u5Ww8dBXKWkkcBkRuDnBN8MGAthyTDoNqEHFHn3cDRMb5Tab6Qqc0WKA1W26Yk3OgmBA59S1v-ObOLqP2CmqZjR1I12-sYpuBMfgtC_tbWI7B-FBv-R4SN8yCxKBSa4r1FtpDeR8IHhxFbtUub5dqUqLI2t1oqRy6M78enKcYbC6HwPiL5eM3Jp45CfaNzX8jTd2_5KVx0SVpSbIoQ22YuUZ49E21HtVsUm-iYtM9X3jtHd68W8KWUNY0OrUlXa3otImYQP9trxklH93gpZfkSkaBj4_q0cQJAvsm63yP3SI=&xkcb=SoD26_M3pV-gt6z47h0GbzkdCdPP&camk=Tur73Jib-MKlXOTvYP7ZKQ==&p=11&fvj=0&vjs=3&tk=1jclrbr6cha9587e&jsa=1583&oc=1&sal=0
Spain,Madrid,Teleoperador/a Atención al cliente con portugués,Agente de atención al cliente,Customer service agent,Low,https://es.indeed.com/viewjob?jk=6e7761c08ea226e5&l=Madrid+Centro%2C+Madrid+provincia&tk=1jclrbr6cha9587e&from=web&advn=8253926728445652&adid=450571427&ad=-6NYlbfkN0B-ap8BVK5yGtuiLOa1KIPvoejlJMJHZ7_XHYnHVLytWGmGfWDABLPsrmVp37JcxiH3WywJXFDnuYVhjfSTQ4lP5uVS9i0Sw70sTnEuMI8Ggewj1YEzgmtl84L1o__8A9gf8Um6xiqfr9NOSQVXdL4ncNRHKtpYI-cCVVQVvU5TlaXZ4c5ZpRoCbcHZHj0cDul_MEMd5rksqZtmpR8LvQ9_qLg6Vp3D-6R1WmOfx1hbJ5exe-OQ3TW0h3vZlD9eNsQlmzRQpkVVfcIxMPOlEMVZGfNRv-9raeXZUUYrcHlhDoRqQh5ObJv0dkLlX_esi6z9NabVvQtxWVLCHKZ8SjFM7ro5CKEerxcPbJaEogeiF5pSa0ws1M-y8VbfZac3Yi7mHLfRpl99vV4r7rVXzwCOox6deaQrhUetMarBBs5Q4pXltrmLku5BSbnY10V_3o8TKmRHOVZLsfjGDf_EN7Nv8maGQOXriR1vrCXYjcP8GOsNWMta-_2_mUoM3IAMxGdAF91zm4asZ9_mR0pcKUjWtEUMLMNz2wc3FqCEY8QaUo9Vo-cp-6zd&sjdu=1LLg-EfnBQ0_9I0tsGqaWP0qf5UBINHaSse-gkTD3dR475P-5jSKRAYf-Fm7jQmgL4rf-c6uDYxms2u5gO14b0_folDBjVCpfLta2keG99AHstgYBc7_Qq09yfxWtxz_t_U-XNGzOU-2btPT7QPynTWE0NVjLUYbFNXzv8DZWaccFOx44fAkq2-r3bmIlfJMrMa0r1fvrc93gc6BK3QJuA&acatk=1jclthohehmuq802&pub=4a1b367933fd867b19b072952f68dceb&camk=UoKtGZLa3XJDHg5TZLr7Xw%3D%3D&xkcb=SoD46_M3pV-gt6z47h0bbzkdCdPP&xpse=SoBS6_I3pVzIyiT4V50PbzkdCdPP&xfps=c85a8ba1-e447-4087-9f3d-f7aa5ca90938&vjs=3
Spain,Madrid,Profesionales caja/reposición jornada completa,Cajero - Reponedor,Cashier - Stock clerk,Low,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUb4EBp3XzAJh7r46iVWrmd2oYVXA2j20fXsbHyOvMeoWZy_C42t9xlorNXOyOj89wd5e63z5Wv1jUi7M6jdntTbW5jQ7qzzW8QKxXtMnoZFdHR9w7qTPQcAkskAs65YCsO7YnOOvZhJSCQOoygYQWRwuu_TlFl9DEFgGhM35qNUi4jaRJvQn_Si6nZu6u3TB9qgBo2V6Wlui3NySpq_XHnq9aLCtQ75lVU_LQXjbacYhs0CG3Z9jPgirsKxGhJQMHzrVNmEz4TOTtVRKBgE3VGbjA-zylrEtOOxUrTVMMCLoPvMCfNvANyPZx48FRPHoUGmhdXNzCK9cibViVxLJGtsszQY3d23hPEYf2HrqVSYT533hkWhU8xrO0lPouRuA4lckipgbSwjxNaaaaoLNOQVF2uWlDgYi7MPWyDnOrPWOyERNLJcFaH3pHcXAAq4tWc7igbO4rUfXC23P60gFY5BWE0b0Kbyr7ZGpR7V5DE4Cz8p9Xi5xkN_Mjhgb4kb0O5MPZeZTK2r4Uz0dWHkc7h6Iv7rqzIRwZNEox_PnxvqHAU3jm2QLAQPwA_3exANCfYpnC8RAPh6XMHlIghsCZLmC3E9x-5ThZKIMk-_H0a917GAPxvzpDjyAEtig9RFIZ47IKOCul05YmY90EpYzgnvaAHb61OyGX2H428a4qRcS-CXOQg25ryTRFfgRnrHhJ0jdp4RvwVVpMHp3EMQKo77_Xbiz7qU8MHPlvZ0eq9tEL5C_axZUa59rt0CnGeGI=&xkcb=SoB46_M3pWJICRTCLh0LbzkdCdPP&camk=ethIe0s0heesdETg1Gh4dw==&p=0&fvj=0&vjs=3&tk=1jcm0hubuhb9u86v&jsa=4322&oc=1&sal=0
Spain,Madrid,DEPENDIENTA DE PASTELERIA,Dependienta de pastelería,Pastry shop attendant,Low,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D-7lAbqUFgO7Z-iknV5iv5GKcMX8gzLCx0NriWUMzhWC2YMno9Ge5e_jTnsm1P-VL2sz9AiMavSScPhPwEvvO-eYiN21b5M9sbGigRgJl8PzUIf9hE33mTuUKG14lPE7w5sGGVNpEZfPnUl3m7TyTk-iQ-WKp_4AvnWm1idTHnGa0S4SdHOtKjVSG8MDTMa5OA4lFjHjNoKkLKRrXS8N_hvmcEla_hBUnG3mk70zm5hyMcY086XTRCpgh9HIEo8FObGcv_2fOKqB0-BimzqAHQb2W6D0IMaxqE2RMykrj-b7QEX2jESZFId2T7QFaB71qljfHwIMmq5CZ5j3HqsXMKi4Ro4Xd7lgg668XzFhf8vdAKB0SIXh3LvmvKvOXX6LIuMANlbnTpIaq6r-t4lxp0X8EEW7vsTJPTqjy4qnRPWRBlNtYE4V1X-hCZ5KxlCi9NdBxXA58Y_xwFF_LT2Q-82cne3fZJqsMurK5UppPlG8b_wKFRVn5uboyzAlzML5D6aCjryNHIrx8Ut4k1fE3gxouUzLbEfPg9iyHB8JUQTFjUxnZx21ezI8XEzjH2VtIE9gqjZFXbdf5i8We1ziRx-wMkhcdansG1E11FvMtcZ7rtxTzxJm_scZ9euDttfNsMBqpewBP69dobkcQPamBCu1pxYdArGmEtVZ3CpPKMAONR4m8QkuvD9YEAHBSpzzmd1K5VrVQV23bzHfM7uJWp&xkcb=SoDM6_M3pWJICRTCLh0KbzkdCdPP&camk=UoKtGZLa3XLtVOgiqQvWPA==&p=1&fvj=0&vjs=3&tk=1jcm0hubuhb9u86v&jsa=4322&oc=1&sal=1
Spain,Madrid,Instalador de telecomunicaciones,Instalador de telecomunicaciones,Telecommunications installer,Low,https://es.indeed.com/rc/clk?jk=fc6717266e46ddcd&bb=I9RIymHKN-g9ls8di0KGMUN11Mc7fWn-2F8lPxMGTZXh7yewZuYMtUGVl71PCxhgMwapV8s8K7ZO8OR-DQEBeDGafGz_MOyVBlhj6mZ4_yK8dgoraBsTtP1boe35MRYln4ls37T53A0R--YCrzZn7eVctAo3AvH178Kcjr5wFSQ%3D&xkcb=SoAt67M3pWKiq9TBKZ0JbzkdCdPP&fccid=7db3e3aefac579b1&cmp=JOJACAR-TELECOMUNICACIONES-S.L.&ti=Instalador+de+equipo+de+telecomunicaciones&vjs=3
Spain,Madrid,Auxiliar de Tienda de Mascotas,Auxiliar de tienda de mascotas,Pet shop assistant,Low,https://es.indeed.com/rc/clk?jk=400b6ba11388497d&bb=43toDFE9TuRFyZdioRL6ddhOsBOGPrjEJGJtin61484WDh_p6Mt-mEvIHPg3fja23mqrDOoo53mC_G2JhqpqjN3WS1-gnraq8-SrSNftW91xBGwroF46Zzfi6URwV5Sz&xkcb=SoCi67M3pWKABqT47h0KbzkdCdPP&fccid=dd616958bd9ddc12&cmp=L%25C3%25A1-Huellita-Pet-Shop&ti=Auxiliar+de+tienda&vjs=3
Spain,Madrid,Preparador/a de pedidos- GM Cash Villaverde,Preparador de pedidos,Order picker,Low,https://es.indeed.com/rc/clk?jk=c0c73a3bcd25bcc8&bb=43toDFE9TuRFyZdioRL6dVdwLmp4uWRhaI2mcyzQhA7v_OMRFAH0GIA3F9-SMJDzO-8LO9C2bzaU_wBPpQ5akgn_JbfR_oCwlUUXsdYyT6I1gGmeh_PJ30G7lYSC_Lly&xkcb=SoAF67M3pWKABqT47h0PbzkdCdPP&fccid=5d6bdb5fd2d2aa4d&vjs=3
Mexico,Mexico City,Coordinación de Eventos y Congresos,Coordinador de eventos y congresos,Event and conference coordinator,High,https://mx.indeed.com/rc/clk?jk=750c26ee9e6ea057&bb=IKCpvzlca3egZuVINccQVB-UQjMPZvWZSq97voIqF9ES9KbFYcr2-dFbfc7IkMs7AXD1WErJQznb3xit87R1iqdmOY566oaNdH23nUVu-sVnCazb2zvxaR0P-i6bOpviyXAOTpmgk7E%3D&xkcb=SoB667M3pWMPaoWTbp0KbzkdCdPP&fccid=6abdb438b83cc693&cmp=Revista-Merca-2.0-Katedra&ti=Personal+para+eventos&vjs=3
